# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
586.2000 M35 1000000 2 411.2000 S157 S164 593 N S157->3_234->S164
827.2000 M88 1000000 3 387.2000 S32 S114 593 N S32->2_224->S72->S114
916.3000 M144 1000000 2 196.3000 S19 S174 596 N S19->4_246->S174
996.7000 M39 1000000 4 801.7000 S144 S2 586 N S144->S10->2_225->S27->S2
1127.7000 M188 1000000 4 187.7000 S108 S152 596 N S108->S57->4_246->7_275->S152
1151.7000 M152 1000000 3 391.7000 S28 S113 593 N S28->S15->4_246->S113
1181.3000 M54 1000000 4 911.3000 S8 S183 584 N S8->4_244->S151->7_275->S183
1245.0000 M143 1000000 4 530.0000 S207 S181 591 N S207->S211->S20->2_224->S181
1292.5000 M37 1000000 6 1107.5000 S108 S5 581 N S108->S57->4_244->S113->S134->7_275->S5
1328.6000 M5 1000000 3 1303.6000 S194 S56 578 N S194->7_276->S201->S56
1372.5000 M34 1000000 3 1202.5000 S187 S141 579 N S187->S151->2_225->S141
1418.8000 M30 1000000 2 1268.8000 S101 S211 578 N S101->3_234->S211
1420.3000 M124 1000000 4 800.3000 S174 S55 586 N S174->S208->4_246->7_275->S55
1424.4000 M53 1000000 2 1159.4000 S59 S119 580 N S59->3_234->S119
1458.8000 M78 1000000 5 1068.8000 S149 S180 582 N S149->6T_260->S187->4_246->S110->S180
1460.5000 M153 1000000 2 695.5000 S51 S124 588 N S51->3_235->S124
1478.5000 M99 1000000 4 983.5000 S7 S64 583 N S7->S211->S20->2_224->S64
1550.6000 M7 1000000 3 1515.6000 S207 S196 574 N S207->S7->3_234->S196
1591.9000 M228 1000000 2 451.9000 S148 S151 592 N S148->9_306->S151
1599.8000 M165 1000000 2 774.8000 S88 S104 587 N S88->9_305->S104
1633.4000 M25 1000000 2 1508.4000 S187 S26 574 N S187->4_245->S26
1633.6000 M55 1000000 5 1358.6000 S117 S26 577 N S117->3_234->S151->S187->4_245->S26
1665.9000 M138 1000000 3 975.9000 S208 S47 583 N S208->4_246->7_275->S47
1679.4000 M44 1000000 5 1459.4000 S108 S20 575 N S108->S57->4_244->S161->2_225->S20
1679.6000 M24 1000000 2 1559.6000 S136 S20 574 N S136->2_225->S20
1728.4000 M202 1000000 3 718.4000 S133 S199 588 N S133->S103->4_246->S199
1778.8000 M229 1000000 4 633.8000 S7 S5 589 N S7->S211->S20->9_305->S5
1779.5000 M183 1000000 4 864.5000 S5 S20 585 N S5->S93->6T_260->S211->S20
1787.7000 M113 1000000 2 1222.7000 S20 S93 579 N S20->9_305->S93
1813.5000 M150 1000000 2 1063.5000 S81 S47 582 N S81->7_276->S47
1825.7000 M105 1000000 6 1300.7000 S124 S59 578 N S124->2_224->S119->3_234->S47->9_305->S59
1854.1000 M75 1000000 6 1479.1000 S105 S72 575 N S105->9_305->S20->S211->S207->2_225->S72
1898.5000 M128 1000000 2 1258.5000 S202 S151 579 N S202->2_224->S151
1900.6000 M286 1000000 3 470.6000 S96 S149 592 N S96->S83->7_277->S149
1928.6000 M174 1000000 3 1058.6000 S97 S55 582 N S97->S148->9_306->S55
1940.7000 M136 1000000 3 1260.7000 S151 S189 578 N S151->7_275->3_234->S189
1940.9000 M64 1000000 2 1620.9000 S94 S189 572 N S94->3_234->S189
2010.9000 M140 1000000 3 1310.9000 S65 S3 578 N S65->7_276->7_275->S3
2014.9000 M222 1000000 2 904.9000 S144 S14 584 N S144->2_224->S14
2019.0000 M14 1000000 5 1949.0000 S192 S38 567 N S192->S72->2_224->S131->2_225->S38
2019.6000 M357 1000000 2 234.6000 S26 S118 596 N S26->4_245->S118
2036.8000 M141 1000000 5 1331.8000 S178 S141 577 N S178->3_235->S85->3_234->4_247->S141
2048.5000 M219 1000000 2 953.5000 S65 S104 584 N S65->7_276->S104
2060.5000 M345 1000000 2 335.5000 S5 S82 594 N S5->9_305->S82
2072.7000 M325 1000000 3 447.7000 S142 S187 592 N S142->7_277->S151->S187
2078.7000 M70 1000000 4 1728.7000 S2 S134 571 N S2->S27->2_225->2_224->S134
2078.9000 M275 1000000 3 703.9000 S14 S134 588 N S14->2_227->2_224->S134
2079.1000 M12 1000000 3 2019.1000 S101 S134 566 N S101->3_236->2_224->S134
2085.0000 M27 1000000 2 1950.0000 S71 S81 567 N S71->7_275->S81
2089.9000 M92 1000000 4 1629.9000 S184 S133 572 N S184->3_235->S127->4_247->S133
2108.0000 M189 1000000 3 1163.0000 S195 S187 580 N S195->S115->3_236->S187
2120.5000 M285 1000000 3 695.5000 S104 S149 588 N S104->7_275->9_305->S149
2140.3000 M250 1000000 3 890.3000 S30 S161 585 N S30->S141->2_224->S161
2146.4000 M277 1000000 3 761.4000 S154 S56 587 N S154->S9->7_275->S56
2146.6000 M21 1000000 2 2041.6000 S83 S56 565 N S83->7_275->S56
2151.1000 M80 1000000 4 1751.1000 S184 S110 570 N S184->3_235->S127->4_247->S110
2174.5000 M266 1000000 4 844.5000 S206 S22 585 N S206->S117->9_306->3_235->S22
2174.7000 M182 1000000 5 1264.7000 S31 S89 578 N S31->S14->2_227->9_305->3_235->S89
2174.9000 M256 1000000 5 894.9000 S154 S89 585 N S154->3_234->S94->S47->3_235->S89
2187.7000 M172 1000000 5 1327.7000 S72 S173 577 N S72->S114->2_224->S131->2_225->S173
2201.4000 M312 1000000 4 641.4000 S132 S190 589 N S132->S161->2_227->2_224->S190
2210.2000 M178 1000000 2 1320.2000 S199 S44 577 N S199->4_246->S44
2229.8000 M33 1000000 2 2064.8000 S67 S170 565 N S67->7_276->S170
2229.9000 M272 1000000 5 869.9000 S163 S96 585 N S163->S82->9_306->S142->9_305->S96
2230.1000 M184 1000000 5 1310.1000 S8 S83 578 N S8->4_245->S14->2_227->9_305->S83
2230.3000 M313 1000000 4 665.3000 S55 S83 588 N S55->6T_260->S9->9_305->S83
2235.8000 M260 1000000 3 935.8000 S180 S62 584 N S180->S110->4_246->S62
2254.3000 M360 1000000 3 454.3000 S155 S132 592 N S155->S142->7_277->S132
2263.2000 M338 1000000 4 573.2000 S187 S93 590 N S187->2_224->S8->3_236->S93
2263.4000 M69 1000000 4 1918.4000 S190 S93 568 N S190->2_227->2_224->3_236->S93
2264.2000 M76 1000000 5 1884.2000 S58 S173 568 N S58->3_234->7_275->S151->6T_260->S173
2264.6000 M36 1000000 5 2084.6000 S3 S32 565 N S3->S200->7_276->S65->6T_260->S32
2296.7000 M6 1000000 5 2266.7000 S47 S183 562 N S47->S94->3_234->S90->7_276->S183
2298.2000 M179 1000000 3 1403.2000 S112 S75 576 N S112->6T_260->9_305->S75
2301.0000 M245 1000000 3 1076.0000 S19 S132 582 N S19->S118->4_245->S132
2303.0000 M196 1000000 5 1323.0000 S40 S168 577 N S40->S81->7_276->S162->7_275->S168
2303.2000 M68 1000000 3 1963.2000 S96 S168 567 N S96->S83->7_275->S168
2327.3000 M93 1000000 6 1862.3000 S42 S152 568 N S42->S59->6T_260->3_235->S112->7_277->S152
2354.9000 M372 1000000 3 494.9000 S58 S101 591 N S58->3_236->3_235->S101
2361.8000 M330 1000000 5 711.8000 S135 S68 588 N S135->S165->2_226->S143->6T_260->S68
2362.0000 M187 1000000 5 1427.0000 S207 S68 576 N S207->S7->3_234->3_235->6T_260->S68
